model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Qwen3-8B-int8,int8,1,F1-05,main,,20260905,1,machine,True,0.875,29,1015.0,results_2line/raw/Qwen3-8B-int8/F1-05__main.txt,0.4688,0.0,0.0,lines,待機,field,,,0,,,,,,,,,,1236,1229,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:08,81,,
Qwen3-8B-int8,int8,1,F1-08,main,,20260905,0,machine,True,0.8919,35,1166.1,results_2line/raw/Qwen3-8B-int8/F1-08__main.txt,0.4054,0.0,0.0,lines,会話,field,,,0,,False,,,,,,,,1249,1245,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-02,main,,20260905,1,machine,True,0.7368,38,1276.9,results_2line/raw/Qwen3-8B-int8/F1-02__main.txt,0.3421,0.0263,0.0,lines,購入,field,C-0121,,0,,,,,,,,,,1290,1273,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-06,main,,20260905,0,machine,True,0.7368,38,1274.1,results_2line/raw/Qwen3-8B-int8/F1-06__main.txt,0.3421,0.0263,0.0,lines,購入,field,C-0075,,1,slots,,,,,,,,,1265,1248,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-07,main,,20260905,1,machine,True,0.8947,38,1274.3,results_2line/raw/Qwen3-8B-int8/F1-07__main.txt,0.4474,0.0,0.0,lines,会話,field,,,0,,,,,,,,,,1250,1242,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-03,main,,20260905,1,machine,True,0.9149,40,1314.1,results_2line/raw/Qwen3-8B-int8/F1-03__main.txt,0.5319,0.0,0.0,lines,会話,field,,,0,,,,,,,,,,1252,1248,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-01,main,,20260905,0,machine,True,0.7619,41,1314.7,results_2line/raw/Qwen3-8B-int8/F1-01__main.txt,0.3333,0.0238,0.0,lines,購入,field,C-0117,,1,money,,,,,,,,,1254,1239,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F1-04,main,,20260905,1,machine,True,0.7727,44,1637.9,results_2line/raw/Qwen3-8B-int8/F1-04__main.txt,0.4773,0.0227,0.0,lines,購入,field,C-0087,,0,,,,,False,,,,,1253,1251,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F6-01,main,,20260905,1,machine,True,0.6429,30,977.7,results_2line/raw/Qwen3-8B-int8/F6-01__main.txt,0.2143,0.0714,0.0,lines,移動,field,C-0116,,0,,,,,,,,,,1346,1339,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:09,81,,
Qwen3-8B-int8,int8,1,F6-02,main,,20260905,1,machine,True,0.7,31,1000.2,results_2line/raw/Qwen3-8B-int8/F6-02__main.txt,0.2667,0.0333,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1344,1339,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-06,main,,20260905,1,machine,True,0.6538,28,920.1,results_2line/raw/Qwen3-8B-int8/F6-06__main.txt,0.2308,0.0385,0.0,lines,移動,field,C-0005,,0,,,,,,,,,,1338,1331,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Swallow-8B-bf16,bf16,1,F1-02,main,,20260905,1,machine,True,0.6774,29,2232.2,results_2line/raw/Swallow-8B-bf16/F1-02__main.txt,0.2581,0.0323,0.0,lines,移動,field,C-0121,,0,,,,,,,,,,1274,1273,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-05,main,,20260905,1,machine,True,0.7,30,991.9,results_2line/raw/Qwen3-8B-int8/F6-05__main.txt,0.3,0.0333,0.0,lines,移動,field,C-0003,,0,,,,,,,,,,1338,1335,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Swallow-8B-bf16,bf16,1,F1-01,main,,20260905,1,machine,True,0.6774,29,2290.3,results_2line/raw/Swallow-8B-bf16/F1-01__main.txt,0.2581,0.0323,0.0,lines,移動,field,C-0117,,0,,,,,,,,,,1237,1239,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:10:10,81,,
Swallow-8B-bf16,bf16,1,F1-07,main,,20260905,1,machine,True,0.8919,30,2343.0,results_2line/raw/Swallow-8B-bf16/F1-07__main.txt,0.4324,0.0,0.0,lines,会話,field,,,0,,,,,,,,,,1234,1242,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-08,main,,20260905,1,machine,True,0.8846,27,713.0,results_2line/raw/Qwen3-8B-int8/F6-08__main.txt,0.3846,0.0,0.0,lines,待機,field,,,0,,,,,,,,,,1340,1335,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-03,main,,20260905,1,machine,True,0.6897,33,1142.4,results_2line/raw/Qwen3-8B-int8/F6-03__main.txt,0.1379,0.0345,0.0,lines,移動,field,C-0042,,0,,,,,,,,,,1344,1338,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-07,main,,20260905,1,machine,True,0.7273,32,1106.3,results_2line/raw/Qwen3-8B-int8/F6-07__main.txt,0.1818,0.0303,0.0,lines,購入,field,C-0012,,0,,,,,,,,,,1344,1335,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
Qwen3-8B-int8,int8,1,F6-04,main,,20260905,1,machine,True,0.7273,36,1345.8,results_2line/raw/Qwen3-8B-int8/F6-04__main.txt,0.1212,0.0303,0.0,lines,購入,field,C-0210,,0,,,,,,,,,,1347,1337,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T17:10:10,81,,
