model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Qwen3-8B-int8,int8,1,F1-05,main,,20260905,1,machine,True,0.875,28,756.7,raw/Qwen3-8B-int8/F1-05__main.txt,0.4688,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1215,1211,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:31,81,,
Qwen3-8B-int8,int8,1,F1-07,main,,20260905,1,machine,True,0.8667,29,772.1,raw/Qwen3-8B-int8/F1-07__main.txt,0.4333,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1229,1224,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:31,81,,
Qwen3-8B-int8,int8,1,F1-06,main,,20260905,0,machine,True,0.8824,33,921.7,raw/Qwen3-8B-int8/F1-06__main.txt,0.4412,0.0,0.0,lines,購入,field,なし,,1,slots,,,,,,,,,1244,1230,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:31,81,,
Qwen3-8B-int8,int8,1,F1-02,main,,20260905,1,machine,True,0.75,40,1068.7,raw/Qwen3-8B-int8/F1-02__main.txt,0.325,0.025,0.0,lines,購入,field,C-0121,,0,,,,,,,,,,1269,1255,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,1,F1-08,main,,20260905,0,machine,True,0.9184,40,1082.2,raw/Qwen3-8B-int8/F1-08__main.txt,0.4898,0.0,0.0,lines,会話,field,なし,,0,,False,,,,,,,,1228,1226,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,1,F1-01,main,,20260905,0,machine,True,0.7674,41,1133.4,raw/Qwen3-8B-int8/F1-01__main.txt,0.3488,0.0233,0.0,lines,購入,field,C-0117,,1,money,,,,,,,,,1233,1221,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,1,F1-04,main,,20260905,1,machine,True,0.7778,43,1199.4,raw/Qwen3-8B-int8/F1-04__main.txt,0.4667,0.0222,0.0,lines,購入,field,C-0088,,0,,,,,False,,,,,1232,1232,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,1,F1-03,main,,20260905,1,machine,True,0.7826,44,1246.4,raw/Qwen3-8B-int8/F1-03__main.txt,0.4565,0.0217,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1231,1230,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,3,F3-02,main,,20260905,0,machine,True,0.8,20,428.2,raw/Qwen3-8B-int8/F3-02__main.txt,0.15,0.0,0.0,lines,,none,,,0,,False,,,,,,,,260,262,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,3,F3-01,main,,20260905,1,machine,True,0.8095,22,492.2,raw/Qwen3-8B-int8/F3-01__main.txt,0.1429,0.0,0.0,lines,,none,,,0,,True,,,,,,,,266,263,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-14B-int8,int8,1,F1-07,main,,20260905,1,machine,True,0.8857,35,1826.6,raw/Qwen3-14B-int8/F1-07__main.txt,0.4286,0.0,0.0,lines,会話,field,なし,,0,,,,,,,,,,1229,1224,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-05T08:07:32,81,,
Qwen3-8B-int8,int8,2,F2-01,main,,20260905,1,machine,True,0.907,44,1088.1,raw/Qwen3-8B-int8/F2-01__main.txt,0.3023,0.0,0.0,lines,移動,field,,,0,,,True,True,,,,,,1253,1255,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-05T08:07:32,81,,
