model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Swallow-8B-bf16,bf16,1,F1-02,main,,20260905,1,machine,True,0.7222,32,2495.6,results_swallow/raw/Swallow-8B-bf16/F1-02__main.txt,0.3056,0.0278,0.0,lines,購入,field,C-0121,,0,,,,,,,,,,1254,1255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-01,main,,20260905,1,machine,True,0.7222,32,2551.4,results_swallow/raw/Swallow-8B-bf16/F1-01__main.txt,0.3056,0.0278,0.0,lines,移動,field,C-0117,,0,,,,,,,,,,1217,1221,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-08,main,,20260905,1,machine,True,0.9091,36,2902.5,results_swallow/raw/Swallow-8B-bf16/F1-08__main.txt,0.4545,0.0,0.0,lines,手伝い,field,なし,,0,,True,,,,,,,,1220,1226,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-05,main,,20260905,0,machine,True,0.7442,37,2962.5,results_swallow/raw/Swallow-8B-bf16/F1-05__main.txt,0.3256,0.0233,0.0,lines,移動,field,C-0182,,1,physical,,,,,,,,,1209,1211,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-07,main,,20260905,1,machine,True,0.9,38,3017.5,results_swallow/raw/Swallow-8B-bf16/F1-07__main.txt,0.5,0.0,0.0,lines,会話,field,なし,,0,,,,,,,,,,1214,1224,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-04,main,,20260905,1,machine,True,0.8,41,3310.5,results_swallow/raw/Swallow-8B-bf16/F1-04__main.txt,0.5,0.02,0.0,lines,購入,field,C-0088,,0,,,,,False,,,,,1226,1232,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:00,81,,
Swallow-8B-bf16,bf16,1,F1-06,main,,20260905,0,machine,True,0.8413,58,4321.8,results_swallow/raw/Swallow-8B-bf16/F1-06__main.txt,0.3333,0.0159,0.0,lines,購入,field,C-0075,,1,slots,,,,,,,,,1230,1230,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:01,81,,
Swallow-8B-bf16,bf16,1,F1-03,main,,20260905,1,machine,True,0.8611,60,4436.0,results_swallow/raw/Swallow-8B-bf16/F1-03__main.txt,0.4861,0.0139,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1225,1230,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:02,81,,
Swallow-8B-bf16,bf16,2,F2-02,main,,20260905,1,machine,True,0.9375,37,2553.1,results_swallow/raw/Swallow-8B-bf16/F2-02__main.txt,0.4792,0.0,0.0,lines,断る,field,,,0,,True,True,False,,,,,,1133,1137,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:02,81,,
Swallow-8B-bf16,bf16,3,F3-01,main,,20260905,0,machine,True,0.6667,12,835.5,results_swallow/raw/Swallow-8B-bf16/F3-01__main.txt,0.1667,0.0,0.0,lines,,none,,,0,,False,,,,,,,,276,263,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:02,81,,
Swallow-8B-bf16,bf16,3,F3-02,main,,20260905,0,machine,True,0.6667,12,831.0,results_swallow/raw/Swallow-8B-bf16/F3-02__main.txt,0.1667,0.0,0.0,lines,,none,,,0,,False,,,,,,,,273,262,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:02,81,,
Swallow-8B-bf16,bf16,2,F2-06,main,,20260905,0,machine,True,0.9362,36,2221.2,results_swallow/raw/Swallow-8B-bf16/F2-06__main.txt,0.4468,0.0,0.0,lines,会話,field,,,0,,,False,True,,,,,,1160,1154,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:03,81,,
Swallow-8B-bf16,bf16,2,F2-05,main,,20260905,1,machine,True,0.82,45,2840.7,results_swallow/raw/Swallow-8B-bf16/F2-05__main.txt,0.34,0.02,0.0,lines,断る,field,,,0,,True,True,True,,,,,,1144,1145,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:03,81,,
Swallow-8B-bf16,bf16,2,F2-01,main,,20260905,0,machine,True,0.9385,53,3421.5,results_swallow/raw/Swallow-8B-bf16/F2-01__main.txt,0.4154,0.0,0.0,lines,会話,field,,,0,,,False,True,,,,,,1246,1255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:03,81,,
Swallow-8B-bf16,bf16,2,F2-04,main,,20260905,1,machine,True,0.9545,55,3389.9,results_swallow/raw/Swallow-8B-bf16/F2-04__main.txt,0.5303,0.0,0.0,lines,断る,field,,,0,,,True,False,True,,,,,1144,1146,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:03,81,,
Swallow-8B-bf16,bf16,2,F2-03,main,,20260905,1,machine,True,0.942,57,3504.2,results_swallow/raw/Swallow-8B-bf16/F2-03__main.txt,0.5507,0.0,0.0,lines,断る,field,,,0,,True,True,True,,,,,,1159,1158,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:03,81,,
Swallow-8B-bf16,bf16,3,F3-03,main,,20260905,0,machine,True,0.7826,23,1360.6,results_swallow/raw/Swallow-8B-bf16/F3-03__main.txt,0.2174,0.0,0.0,lines,,none,,,0,,False,,,,,,,,258,248,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:04,81,,
Swallow-8B-bf16,bf16,3,F3-06,main,,20260905,0,machine,True,0.8095,18,1124.8,results_swallow/raw/Swallow-8B-bf16/F3-06__main.txt,0.1905,0.0,0.0,lines,,none,,,0,,False,,,,,,,,270,259,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:04,81,,
Swallow-8B-bf16,bf16,3,F3-07,main,,20260905,0,machine,True,0.7222,17,1101.3,results_swallow/raw/Swallow-8B-bf16/F3-07__main.txt,0.2222,0.0,0.0,lines,,none,,,0,,False,,,,,,,,259,246,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:04,81,,
Swallow-8B-bf16,bf16,3,F3-04,main,,20260905,0,machine,True,0.9118,32,1914.5,results_swallow/raw/Swallow-8B-bf16/F3-04__main.txt,0.2941,0.0,0.0,lines,,none,,,0,,False,,,,,,,,280,265,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:04,81,,
Swallow-8B-bf16,bf16,3,F3-05,main,,20260905,0,machine,True,0.8158,32,1934.7,results_swallow/raw/Swallow-8B-bf16/F3-05__main.txt,0.2895,0.0,0.0,lines,,none,,,0,,False,,,,,,,,272,262,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:04,81,,
Swallow-8B-bf16,bf16,3,F3-08,main,,20260905,1,machine,True,0.8387,27,1722.2,results_swallow/raw/Swallow-8B-bf16/F3-08__main.txt,0.1613,0.0,0.0,lines,,none,,,0,,True,,,,,,,,262,250,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:05,81,,
Swallow-8B-bf16,bf16,3,F3-09,main,,20260905,0,machine,False,0.9,32,2031.2,results_swallow/raw/Swallow-8B-bf16/F3-09__main.txt,0.3,0.0,0.0,format_error,,none,,,0,,False,,,,,,,,253,242,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:05,81,,
Swallow-8B-bf16,bf16,3,F3-10,main,,20260905,0,machine,True,0.814,32,2032.7,results_swallow/raw/Swallow-8B-bf16/F3-10__main.txt,0.3953,0.0,0.0,lines,,none,,,0,,False,,,,,,,,267,255,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:06,81,,
Swallow-8B-bf16,bf16,4,F4-03,main,,20260905,0,machine,False,1.0,60,3587.2,results_swallow/raw/Swallow-8B-bf16/F4-03__main.txt,0.5405,0.0,0.0,format_error,,none,,,0,,,,,,0.0,1.0,,,1072,1078,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:08,81,,
Swallow-8B-bf16,bf16,4,F4-01,main,,20260905,0,machine,False,0.9381,78,4674.6,results_swallow/raw/Swallow-8B-bf16/F4-01__main.txt,0.5361,0.0206,0.0,format_error,,none,,,0,,,,,,0.0,1.0,,,1075,1085,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T17:09:08,81,,
