model,quant,family,probe_id,variant,tier,seed,score,judge_type,parse_ok,ja_char_ratio,out_tokens,latency_ms,raw_output_path,kana_ratio,latin_ratio,other_script_ratio,parse_mode,action,action_src,destination,verdict,n_violations,violations,gold_ok,term_detected,term_expected,over_refusal,hallucination_rate,recall_rate,diff_valid,diff_semantic_ok,prompt_tokens,approx_tokens,temperature,batch_invariant,concurrency,endpoint,engine_ver,ts,item_set_hash,prompt_template_hash,notes
Qwen3-8B-int8,int8,1,F1-02v0,main,,20260905,1,machine,True,0.6875,31,1266.4,results_f1var/raw/Qwen3-8B-int8/F1-02v0__main.txt,0.2812,0.0312,0.0,lines,移動,field,C-0121,,0,,,,,,,,,,1749,1747,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-01v0,main,,20260905,1,machine,True,0.7368,36,1445.8,results_f1var/raw/Qwen3-8B-int8/F1-01v0__main.txt,0.3684,0.0263,0.0,lines,移動,field,C-0117,,0,,,,,,,,,,1760,1755,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-01v1,main,,20260905,0,machine,True,0.7222,35,1445.6,results_f1var/raw/Qwen3-8B-int8/F1-01v1__main.txt,0.3056,0.0278,0.0,lines,購入,field,C-0117,,1,money,,,,,,,,,1230,1218,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-04v1,main,,20260905,1,machine,True,0.7368,36,1462.2,results_f1var/raw/Qwen3-8B-int8/F1-04v1__main.txt,0.3947,0.0263,0.0,lines,購入,field,C-0088,,0,,,,,False,,,,,1228,1227,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-04v0,main,,20260905,1,machine,True,0.7222,37,1514.1,results_f1var/raw/Qwen3-8B-int8/F1-04v0__main.txt,0.3611,0.0278,0.0,lines,購入,field,C-0088,,0,,,,,False,,,,,1768,1772,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-02v1,main,,20260905,1,machine,True,0.75,39,1688.2,results_f1var/raw/Qwen3-8B-int8/F1-02v1__main.txt,0.325,0.025,0.0,lines,購入,field,C-0121,,0,,,,,,,,,,1223,1214,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-03v0,main,,20260905,1,machine,True,0.7619,40,1811.2,results_f1var/raw/Qwen3-8B-int8/F1-03v0__main.txt,0.381,0.0238,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1767,1769,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:16,81,,
Qwen3-8B-int8,int8,1,F1-03v1,main,,20260905,1,machine,True,0.7778,43,2005.0,results_f1var/raw/Qwen3-8B-int8/F1-03v1__main.txt,0.4444,0.0222,0.0,lines,購入,field,C-0088,,0,,,,,,,,,,1227,1225,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:17,81,,
Qwen3-14B-int8,int8,1,F1-01v1,main,,20260905,1,machine,True,0.9167,40,2372.2,results_f1var/raw/Qwen3-14B-int8/F1-01v1__main.txt,0.4792,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1230,1218,0.0,1,8,http://127.0.0.1:8001,0.28.0,2026-09-06T13:51:17,81,,
Qwen3-8B-int8,int8,1,F1-05v1,main,,20260905,1,machine,True,0.875,28,1004.3,results_f1var/raw/Qwen3-8B-int8/F1-05v1__main.txt,0.4688,0.0,0.0,lines,待機,field,なし,,0,,,,,,,,,,1212,1208,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:17,81,,
Qwen3-8B-int8,int8,1,F1-05v0,main,,20260905,1,machine,True,0.7297,36,1256.3,results_f1var/raw/Qwen3-8B-int8/F1-05v0__main.txt,0.3514,0.027,0.0,lines,移動,field,C-0182,,0,,,,,,,,,,1784,1782,0.0,1,8,http://127.0.0.1:8000,0.28.0,2026-09-06T13:51:17,81,,
